name_native,locale_id,Geo Region,summary_en,name_en,wikipedia_url_en,image_url,alt_names,how_to_eat_en,tags,Season,Notes,Often Contains,Meal
干拌顺风,zh-CN,China,Pig Ear in Chili Sauce,Pig Ear in Chili Sauce,,,,,,,,,
干火焅大虾,zh-CN,China,Stewed Shrimp,Stewed Shrimp,,,,,,,,,
干炸多春鱼,zh-CN,China,Deep-Fried Shisamo,Deep-Fried Shisamo,,,,,,,,,
干烧大虾,zh-CN,China,Dry-Braised Prawn with Ham and Asparagus,Dry-Braised Prawn with Ham and Asparagus,,,,,,,,,
干烧桂鱼,zh-CN,China,Dry-Braised Mandarin Fish,Dry-Braised Mandarin Fish,,,,,,,,,
干烧牙片鱼,zh-CN,China,Dry-Braised Turbot,Dry-Braised Turbot,,,,,,,,,
干烧牛肉,zh-CN,China,Fried Beef with Chili,Fried Beef with Chili,,,,,,,,,
干烧虾仁,zh-CN,China,Sautéed Shrimp,Sautéed Shrimp,,,,,,,,,
干烧虾球,zh-CN,China,Dry-Braised Prawn,Dry-Braised Prawn,,,,,,,,,
干烧鸡,zh-CN,China,Dry-Roast Chicken,Dry-Roast Chicken,,,,,,,,,
干焅鱼翅,zh-CN,China,Stewed Shark Fin,Stewed Shark Fin,,,,,,,,,
干煎带鱼,zh-CN,China,Deep-Fried Hair Tail,Deep-Fried Hair Tail,,,,,,,,,
干煎龙利,zh-CN,China,Pan-Fried Flounder,Pan-Fried Flounder,,,,,,,,,
干煸小猪腰,zh-CN,China,Sautéed Pig Kidney with Onion,Sautéed Pig Kidney with Onion,,,,,,,,,
干煸牛柳丝,zh-CN,China,Sautéed Shredded Beef Tenderloin,Sautéed Shredded Beef Tenderloin,,,,,,,,,
干煸牛肉丝,zh-CN,China,Sautéed Shredded Beef with Chinese Pepper,Sautéed Shredded Beef with Chinese Pepper,,,,,,,,,
干羊肉野山菌,zh-CN,China,Dried Lamb with Wild Truffles,Dried Lamb with Wild Truffles,,,,,,,,,
干葱豆豉鸡煲,zh-CN,China,Stewed Chicken with Scallion and Black Bean Sauce In Casserole,Stewed Chicken with Scallion and Black Bean Sauce In Casserole,,,,,,,,,
干豆角回锅肉,zh-CN,China,Sautéed Twice-Cooked Pork with Dried Beans,Sautéed Twice-Cooked Pork with Dried Beans,,,,,,,,,
干豇豆炖猪蹄,zh-CN,China,Braised Pig Feet with Dried Cowpeas,Braised Pig Feet with Dried Cowpeas,,,,,,,,,
干贝炖烧翅,zh-CN,China,Stewed Scallops in Shark Fin Soup,Stewed Scallops in Shark Fin Soup,,,,,,,,,
干贝芥菜鸡锅,zh-CN,China,Stewed Chicken with Scallops and Mustard Leaves,Stewed Chicken with Scallops and Mustard Leaves,,,,,,,,,
干贝鲜腐竹草菇,zh-CN,China,Braised Dried Scallops with Straw Mushrooms and Tofu Skin,Braised Dried Scallops with Straw Mushrooms and Tofu Skin,,,,,,,,,
干锅手撕鸡,zh-CN,China,Griddle Hand-Shredded Chicken,Griddle Hand-Shredded Chicken,,,,,,,,,
干锅排骨鸡,zh-CN,China,Griddle Spare Ribs and Chicken,Griddle Spare Ribs and Chicken,,,,,,,,,
干锅肥肠,zh-CN,China,Griddle Pork Intestines,Griddle Pork Intestines,,,,,,,,,
干锅茶树菇,zh-CN,China,Griddled Tea Plant Mushrooms,Griddled Tea Plant Mushrooms,,,,,,,,,
干锅辣猪手,zh-CN,China,Griddle Spicy Pig Feet,Griddle Spicy Pig Feet,,,,,,,,,
干锅香辣虾,zh-CN,China,Griddled Spicy Crab,Griddled Spicy Crab,,,,,,,,,
干锅鸡,zh-CN,China,Sautéed Chicken with Pepper in Iron Wok,Sautéed Chicken with Pepper in Iron Wok,,,,,,,,,
干锅鸡胗,zh-CN,China,Sautéed Chicken Gizzards in Iron Wok,Sautéed Chicken Gizzards in Iron Wok,,,,,,,,,
干锅黄牛肉,zh-CN,China,Griddled Beef and Mushroom,Griddled Beef and Mushroom,,,,,,,,,
广州文昌鸡,zh-CN,China,Sliced Chicken with Chicken Livers and Ham,Sliced Chicken with Chicken Livers and Ham,,,,,,,,,
当归鸭卷,zh-CN,China,Duck Rolls with Angelica,Duck Rolls with Angelica,,,,,,,,,
当红炸子鸡,zh-CN,China,Deep-Fried Chicken with Chili Pepper,Deep-Fried Chicken with Chili Pepper,,,,,,,,,
彩椒炒火鸭柳,zh-CN,China,Sautéed Roast Duck with Bell Pepper,Sautéed Roast Duck with Bell Pepper,,,,,,,,,
彩椒牛柳,zh-CN,China,Sautéed Beef Fillet with Bell Peppers,Sautéed Beef Fillet with Bell Peppers,,,,,,,,,
德州扒鸡,zh-CN,China,"Braised Chicken, Dezhou Style","Braised Chicken, Dezhou Style",,,,,,,,,
怪味海参,zh-CN,China,Multi-Flavored Sea Cucumber,Multi-Flavored Sea Cucumber,,,,,,,,,
怪味牛腱,zh-CN,China,Multi-Flavored Beef Shank,Multi-Flavored Beef Shank,,,,,,,,,
怪味猪手,zh-CN,China,Multi-Flavored Pig Feet,Multi-Flavored Pig Feet,,,,,,,,,
怪味鸡丝,zh-CN,China,Multi-Flavored Shredded Chicken,Multi-Flavored Shredded Chicken,,,,,,,,,
扁豆肉丝,zh-CN,China,Sautéed Shredded Pork and Green Beans,Sautéed Shredded Pork and Green Beans,,,,,,,,,
手扒羊排,zh-CN,China,Grilled Lamb Chops,Grilled Lamb Chops,,,,,,,,,
手抓琵琶骨,zh-CN,China,Braised Spare Ribs,Braised Spare Ribs,,,,,,,,,
扒四宝,zh-CN,China,Sautéed Four Delicacies,Sautéed Four Delicacies,,,,,,,,,
扒芥香鸡胸,zh-CN,China,Grilled Chicken Breast Flavored with Mustard,Grilled Chicken Breast Flavored with Mustard,,,,,,,,,
扒鱼肚油菜心,zh-CN,China,Sautéed Fish Maw with Green Vegetable,Sautéed Fish Maw with Green Vegetable,,,,,,,,,
扒鱼肚白菜心,zh-CN,China,Sautéed Fish Maw with Chinese Cabbage Heart,Sautéed Fish Maw with Chinese Cabbage Heart,,,,,,,,,
扒鲍鱼菜心,zh-CN,China,Sautéed Abalone with Cole Heart,Sautéed Abalone with Cole Heart,,,,,,,,,
扒鸡腿,zh-CN,China,Grilled Chicken Legs,Grilled Chicken Legs,,,,,,,,,
扣碗牛肉,zh-CN,China,Steamed Beef in Casserole,Steamed Beef in Casserole,,,,,,,,,
扬州凤鹅,zh-CN,China,"Steamed Goose, Yangzhou Style","Steamed Goose, Yangzhou Style",,,,,,,,,
拆烤羊腿肉,zh-CN,China,Roast Lamb Leg,Roast Lamb Leg,,,,,,,,,
拌八爪鱼,zh-CN,China,Marinated Octopus,Marinated Octopus,,,,,,,,,
拌双耳,zh-CN,China,Tossed Black and White Fungus,Tossed Black and White Fungus,,,,,,,,,
拌爽口海苔,zh-CN,China,Seaweed in Sauce,Seaweed in Sauce,,,,,,,,,
拌牦牛耳,zh-CN,China,Yak Ear,Yak Ear,,,,,,,,,
拌猪头肉,zh-CN,China,Pig's Head Meat in Sauce,Pig's Head Meat in Sauce,,,,,,,,,
拌苦菜,zh-CN,China,Maror in Sauce,Maror in Sauce,,,,,,,,,
拌茄泥,zh-CN,China,Mashed Eggplant,Mashed Eggplant,,,,,,,,,
拌豆腐丝,zh-CN,China,Shredded Tofu,Shredded Tofu,,,,,,,,,
拌野菜,zh-CN,China,Assorted Wild Herbs in Sauce,Assorted Wild Herbs in Sauce,,,,,,,,,
拌香椿苗,zh-CN,China,Chinese Toon in Sauce,Chinese Toon in Sauce,,,,,,,,,
拌鲜核桃仁,zh-CN,China,Fresh Walnuts in Sauce,Fresh Walnuts in Sauce,,,,,,,,,
拌鸵鸟筋,zh-CN,China,Ostrich Tendons in Sauce,Ostrich Tendons in Sauce,,,,,,,,,
拌黑木耳,zh-CN,China,Black Fungus in Sauce,Black Fungus in Sauce,,,,,,,,,
提篮鹿肉,zh-CN,China,Stewed Venison,Stewed Venison,,,,,,,,,
支竹羊肉煲,zh-CN,China,Lamb and Rolls of Dried in Casserole,Lamb and Rolls of Dried in Casserole,,,,,,,,,
方竹笋炖肉,zh-CN,China,Stewed Pork with Bamboo Shoots,Stewed Pork with Bamboo Shoots,,,,,,,,,
无锡排骨,zh-CN,China,"Fried Spare Ribs, Wuxi Style","Fried Spare Ribs, Wuxi Style",,,,,,,,,
无骨排,zh-CN,China,Boneless Spare Ribs,Boneless Spare Ribs,,,,,,,,,
时菜炒牛肉,zh-CN,China,Sautéed Beef with Seasonal Vegetable,Sautéed Beef with Seasonal Vegetable,,,,,,,,,
时菜炒鸡片,zh-CN,China,Sautéed Sliced Chicken with Seasonal Vegetable,Sautéed Sliced Chicken with Seasonal Vegetable,,,,,,,,,
时菜炒鸽脯,zh-CN,China,Sautéed Pigeon Breast with Seasonal Vegetable,Sautéed Pigeon Breast with Seasonal Vegetable,,,,,,,,,
时菜鹑蛋,zh-CN,China,Quail Egg with Seasonal Vegetable,Quail Egg with Seasonal Vegetable,,,,,,,,,
时蔬鸡片,zh-CN,China,Sautéed Chicken Slices with Seasonal Vegetable,Sautéed Chicken Slices with Seasonal Vegetable,,,,,,,,,
明炉烧鸭,zh-CN,China,Roast Duck,Roast Duck,,,,,,,,,
明虾荔枝沙拉,zh-CN,China,Shrimp and Lichee Salad,Shrimp and Lichee Salad,,,,,,,,,
春卷,zh-CN,"China, Guangdong, Hong Kong","thin wrappers filled with vegetables, meat, or seafood and deep-fried until crispy",spring roll,https://en.wikipedia.org/wiki/Spring_roll,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Spring_roll_001.jpg/1600px-Spring_roll_001.jpg?20211018090341,"chunjuan, chun juan",,,,"If available, order the xiao long baos with crab roe. The crab roe adds a sweet but umami flavor to the dumpling. It is also seasonal.","⚠️ Soy,⚠️ Wheat,🐖 Pork",Snack (Savory)
春芽豆腐丝,zh-CN,China,Shredded Tofu with Bean Sprouts,Shredded Tofu with Bean Sprouts,,,,,,,,,
朝鲜辣白菜/朝鲜泡菜,zh-CN,China,Kimchi,Kimchi,,,,,,,,,
木瓜海虎翅,zh-CN,China,Supreme Shark Fin Soup with Papaya,Supreme Shark Fin Soup with Papaya,,,,,,,,,
木瓜炖翅,zh-CN,China,Shark Fin Soup with Papaya,Shark Fin Soup with Papaya,,,,,,,,,
木瓜腰豆煮海参,zh-CN,China,Stewed Sea Cucumber with Kidney Beans and Papaya,Stewed Sea Cucumber with Kidney Beans and Papaya,,,,,,,,,
木瓜鱼翅,zh-CN,China,Shark Fin with Papaya,Shark Fin with Papaya,,,,,,,,,
木耳肉片,zh-CN,China,Sautéed Sliced Pork with Black Fungus and Eggs,Sautéed Sliced Pork with Black Fungus and Eggs,,,,,,,,,
木耳过油肉,zh-CN,China,Sautéed Boiled Pork with Black Fungus,Sautéed Boiled Pork with Black Fungus,,,,,,,,,
木须肉,zh-CN,China,"Muxu Pork (Sautéed Sliced Pork, Eggs and Black Fungus)","Muxu Pork (Sautéed Sliced Pork, Eggs and Black Fungus)",,,,,,,,,
木须鸡,zh-CN,China,"Muxu Chicken (Sautéed Sliced Chicken, Eggs and Black Fungus)","Muxu Chicken (Sautéed Sliced Chicken, Eggs and Black Fungus)",,,,,,,,,
杏仁百花脆皮鸡,zh-CN,China,Crispy Chicken with Shrimp Paste and Almonds,Crispy Chicken with Shrimp Paste and Almonds,,,,,,,,,
杏香橙花鸡脯,zh-CN,China,Sautéed Chicken Breast with Almonds in Orange Sauce,Sautéed Chicken Breast with Almonds in Orange Sauce,,,,,,,,,
杭州风鹅,zh-CN,China,"Air-Dried Goose, Hangzhou Style","Air-Dried Goose, Hangzhou Style",,,,,,,,,
杭椒牛柳,zh-CN,China,Sautéed Beef Fillet with Green Pepper,Sautéed Beef Fillet with Green Pepper,,,,,,,,,
杭椒虾爆鳝,zh-CN,China,Stir-Fried Eel and Prawns with Green Pepper,Stir-Fried Eel and Prawns with Green Pepper,,,,,,,,,
松仁香菇,zh-CN,China,Chinese Mushrooms with Pine Nuts,Chinese Mushrooms with Pine Nuts,,,,,,,,,
松子香菇,zh-CN,China,Braised Chinese Mushrooms with Pine Nuts,Braised Chinese Mushrooms with Pine Nuts,,,,,,,,,
松田青豆,zh-CN,China,Songtian Green Beans,Songtian Green Beans,,,,,,,,,
松茸扒鹅肝,zh-CN,China,Grilled Goose Liver with Matsutake,Grilled Goose Liver with Matsutake,,,,,,,,,
松茸烩鱼翅,zh-CN,China,Braised Shark Fin with Mushrooms,Braised Shark Fin with Mushrooms,,,,,,,,,
板栗烧鳝段,zh-CN,China,Braised Eel with Chestnuts,Braised Eel with Chestnuts,,,,,,,,,
板栗焖仔鸡,zh-CN,China,Stewed Chicken with Chestnuts,Stewed Chicken with Chestnuts,,,,,,,,,
板栗红烧肉,zh-CN,China,Braised Pork with Chestnuts,Braised Pork with Chestnuts,,,,,,,,,
果仁生汁脆皮虾球,zh-CN,China,Crispy Prawn with Nuts,Crispy Prawn with Nuts,,,,,,,,,
果汁银元带子,zh-CN,China,Sautéed Scallops with Fruit Juice,Sautéed Scallops with Fruit Juice,,,,,,,,,
枣生栗子鸡,zh-CN,China,"Stewed Chicken with Jujubes, Peanuts and Chestnuts","Stewed Chicken with Jujubes, Peanuts and Chestnuts",,,,,,,,,
枸杞凉瓜,zh-CN,China,Bitter Melon with Chinese Wolfberry,Bitter Melon with Chinese Wolfberry,,,,,,,,,
枸杞浓汁烩凤筋,zh-CN,China,Braised Chicken Tendon with Chinese Wolfberry,Braised Chicken Tendon with Chinese Wolfberry,,,,,,,,,
枸杞蒸裙边,zh-CN,China,Steamed Turtle Rim in Chinese Wolfberry,Steamed Turtle Rim in Chinese Wolfberry,,,,,,,,,
柠檬牛肉,zh-CN,China,Sautéed Beef with Lemon Juice,Sautéed Beef with Lemon Juice,,,,,,,,,
柠檬虾球,zh-CN,China,Lemon-Flavored Prawns,Lemon-Flavored Prawns,,,,,,,,,
柠檬鸡,zh-CN,China,Fried Boneless Chicken in Lemon Sauce,Fried Boneless Chicken in Lemon Sauce,,,,,,,,,
柴把鸭,zh-CN,China,Steamed Duck with Bamboo Shoots and Ham,Steamed Duck with Bamboo Shoots and Ham,,,,,,,,,
核桃 虾球,zh-CN,China,Walnut Shrimp,Walnut Shrimp,,,,,,,,,
桂花山药,zh-CN,China,Chinese Yam with Osmanthus Sauce,Chinese Yam with Osmanthus Sauce,,,,,,,,,
桂花炒干贝,zh-CN,China,Sautéed Scallops with Osmanthus,Sautéed Scallops with Osmanthus,,,,,,,,,
桂花炒珍宝蟹,zh-CN,China,Sautéed Jumbo Crab with Osmanthus,Sautéed Jumbo Crab with Osmanthus,,,,,,,,,
桂花炒肉蟹,zh-CN,China,Sautéed Hard-Shell Crab with Osmanthus,Sautéed Hard-Shell Crab with Osmanthus,,,,,,,,,
桂花炒鱼翅,zh-CN,China,Sautéed Shark Fin and Osmanthus,Sautéed Shark Fin and Osmanthus,,,,,,,,,
桂花糯米藕,zh-CN,China,Steamed Lotus Root Stuffed with Glutinous Rice,Steamed Lotus Root Stuffed with Glutinous Rice,,,,,,,,,
桂鱼（干烧/清蒸/酸汤/椒盐）,zh-CN,China,Mandarin Fish (Dry-Braised/Steamed/Boiled in Sour Stock/Sautéed with Spiced Salt),Mandarin Fish (Dry-Braised/Steamed/Boiled in Sour Stock/Sautéed with Spiced Salt),,,,,,,,,
桂鱼（清蒸/水煮/干烧/红烧）,zh-CN,China,"Mandarin Fish（Steamed/Boiled in Chili Oil, Dry- Braised, Braised with Soy Sauce）","Mandarin Fish（Steamed/Boiled in Chili Oil, Dry- Braised, Braised with Soy Sauce）",,,,,,,,,
桂鱼（清蒸/油浸/松子炸),zh-CN,China,Mandarin Fish (Steamed/Boiled in Chili Oil/Fried with Pine Nuts),Mandarin Fish (Steamed/Boiled in Chili Oil/Fried with Pine Nuts),,,,,,,,,
梅樱小炒皇,zh-CN,China,Sautéed Squid with Shredded Pork and Leek,Sautéed Squid with Shredded Pork and Leek,,,,,,,,,
椒子肥牛片,zh-CN,China,Sautéed Beef Slices with Green Pepper,Sautéed Beef Slices with Green Pepper,,,,,,,,,
椒盐吊片,zh-CN,China,Cuttlefish with Spiced Salt,Cuttlefish with Spiced Salt,,,,,,,,,
椒盐基围虾,zh-CN,China,Shrimp with Spiced Salty,Shrimp with Spiced Salty,,,,,,,,,
椒盐大虾球,zh-CN,China,Prawn with Spiced Salt,Prawn with Spiced Salt,,,,,,,,,
椒盐头爪,zh-CN,China,Lobster Head and Claws with Spiced Salt,Lobster Head and Claws with Spiced Salt,,,,,,,,,
椒盐排骨,zh-CN,China,Fried Spare Ribs with Spiced Salt,Fried Spare Ribs with Spiced Salt,,,,,,,,,
椒盐有头虾,zh-CN,China,Shrimp with Heads with Spiced Salt,Shrimp with Heads with Spiced Salt,,,,,,,,,
椒盐炸排条,zh-CN,China,Fried Spare Ribs with Spices,Fried Spare Ribs with Spices,,,,,,,,,
椒盐牛仔骨,zh-CN,China,Spiced Calf Ribs,Spiced Calf Ribs,,,,,,,,,
椒盐肉排,zh-CN,China,Spare Ribs with Spices,Spare Ribs with Spices,,,,,,,,,
椒盐蟹,zh-CN,China,Crab with Spiced Salt,Crab with Spiced Salt,,,,,,,,,
椒盐鱿鱼,zh-CN,China,Squid with Spiced Salt,Squid with Spiced Salt,,,,,,,,,
椒盐鳕鱼,zh-CN,China,Codfish with Spiced Salt,Codfish with Spiced Salt,,,,,,,,,
椒盐鸡,zh-CN,China,Chicken with Spiced Salt,Chicken with Spiced Salt,,,,,,,,,
椒絲腐乳通菜,zh-CN,"China, Guangdong",water spinach stir fried with fermented tofu and sliced chilis,stir-fried water spinach with fermented tofu,https://en.wikipedia.org/wiki/Cantonese_cuisine#/media/File:Rau_mu%E1%BB%91ng_x%C3%A0o_t%E1%BB%8Fi.jpg,,椒絲腐乳通菜,,traditional,,,Fermented,Main
椒香鳝段,zh-CN,China,Sautéed Eel with Peppers,Sautéed Eel with Peppers,,,,,,,,,
椒麻鹌鹑腿,zh-CN,China,Braised Quail Legs with Pepper and Chili,Braised Quail Legs with Pepper and Chili,,,,,,,,,
榄仁炒鱼环,zh-CN,China,Sautéed Minced Dace with Olives,Sautéed Minced Dace with Olives,,,,,,,,,
榄菜肉菘炒四季豆,zh-CN,China,Sautéed Green Beans with Minced Pork and Vegetable,Sautéed Green Beans with Minced Pork and Vegetable,,,,,,,,,
榨菜牛肉,zh-CN,China,Sautéed Beef with Pickled Vegetable,Sautéed Beef with Pickled Vegetable,,,,,,,,,
樱桃汁煎鸭胸,zh-CN,China,Pan-Fried Duck Breast in Cherry Sauce,Pan-Fried Duck Breast in Cherry Sauce,,,,,,,,,
樱桃萝卜蘸酱,zh-CN,China,Turnip with Soy Bean Paste,Turnip with Soy Bean Paste,,,,,,,,,
毛家红烧肉,zh-CN,China,"Braised Pork, Mao’s Family Style","Braised Pork, Mao’s Family Style",,,,,,,,,
水晶肘,zh-CN,China,Stewed Pig Knuckle,Stewed Pig Knuckle,,,,,,,,,
水晶萝卜,zh-CN,China,Sliced Turnip with Sauce,Sliced Turnip with Sauce,,,,,,,,,
水晶虾仁,zh-CN,"China, Shanghai","small shrimp coated in cornstarch, wine and salt and sautéed so that the shrimp is covered in a thin clear sauce",crystal shrimp,,,,,,,,"⚠️ Fish,⚠️ Egg",Main
水晶鱼冻,zh-CN,China,Fish Aspic,Fish Aspic,,,,,,,,,
水晶鸭宝,zh-CN,China,Duck Delicacy Aspic,Duck Delicacy Aspic,,,,,,,,,
水晶鸭舌,zh-CN,China,Duck Tongue Aspic,Duck Tongue Aspic,,,,,,,,,
水晶鹅肝,zh-CN,China,Goose Liver Aspic,Goose Liver Aspic,,,,,,,,,
水果沙拉,zh-CN,China,Fruit Salad,Fruit Salad,,,,,,,,,
水煮牛肉,zh-CN,China,Sliced Beef in Chili Oil,Sliced Beef in Chili Oil,,,,,,,,,
水煮鱼,zh-CN,"Sichuan, China",delicate fish poached in mildly spicy chili oil broth,poached fish in chili oil,https://en.wikipedia.org/wiki/Shuizhu,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Sliced_Fish_in_Hot_Chili_Oil.jpg/900px-Sliced_Fish_in_Hot_Chili_Oil.jpg?20170515081305,,,"seafood,mala,spicy,sichuan",,,⚠️ Fish,Main
水煮鹿里脊,zh-CN,China,Venison Tenderloin in Hot Chili Oil,Venison Tenderloin in Hot Chili Oil,,,,,,,,,
汁烧鸡肉,zh-CN,China,Stewed Fried Chicken in Sauce,Stewed Fried Chicken in Sauce,,,,,,,,,
江南百花鸡,zh-CN,China,"Stuffed Chicken, Yangtze Delta Style","Stuffed Chicken, Yangtze Delta Style",,,,,,,,,
江米酿鸡,zh-CN,China,Stewed Chicken with Glutinous Rice,Stewed Chicken with Glutinous Rice,,,,,,,,,
汽锅虫草炖老鸭,zh-CN,China,Stewed Duck with Aweto in Boiler,Stewed Duck with Aweto in Boiler,,,,,,,,,
汽锅鸡翅,zh-CN,China,Stewed Chicken Wings in Boiler,Stewed Chicken Wings in Boiler,,,,,,,,,
沙姜焗软鸡,zh-CN,China,Baked Salted Chicken with Ginger,Baked Salted Chicken with Ginger,,,,,,,,,
沙茶鸡煲,zh-CN,China,Braised Chicken with Satay Sauce in Casserole,Braised Chicken with Satay Sauce in Casserole,,,,,,,,,
沸腾鱼,zh-CN,"Sichuan, China","crispy fish in fiery chili oil broth, bursting with spices",boiled fish in chili oil,,,,,"seafood,mala,spicy,sichuan",,,⚠️ Fish,Main
沸腾鱼,zh-CN,China,Boiled Fish in Chili Oil,Boiled Fish in Chili Oil,,,,,,,,,
油泼鸭心,zh-CN,China,Boiled Duck Heart in Oil,Boiled Duck Heart in Oil,,,,,,,,,
油焖香菇,zh-CN,China,Stewed Chinese Mushrooms,Stewed Chinese Mushrooms,,,,,,,,,
油爆虾,zh-CN,"China, Shanghai","whole, freshwater shrimp quickly double fried in boiling oil",shanghai style fried shrimp,,,yuo bao xia,The shrimp should be served whole with the head and unshelled. The head and the shell can also be eaten.,,,油爆 (yuo bao) roughly translates into exploding in oil,⚠️ Shellfish,Main
油爆鳝糊,zh-CN,"China, Shanghai",wok fried Shanghai eel,stir fried river eel,,,油爆鱔糊,,,,鱔糊 (Shan Hu) is a type of swamp eel found in Jaingnan and is considered a delicacy. It can be found prepared in a wide variety of methods.,"⚠️ Fish,⚠️ Soy",Main
油面筋酿肉,zh-CN,China,Wheat Gluten with Pork Stuffing,Wheat Gluten with Pork Stuffing,,,,,,,,,
沾水牛肉,zh-CN,China,Plain Cooked Beef with Multiple Sauces,Plain Cooked Beef with Multiple Sauces,,,,,,,,,
泡椒凤爪,zh-CN,China,Chicken Feet with Pickled Peppers,Chicken Feet with Pickled Peppers,,,,,,,,,
泡椒牛蛙,zh-CN,China,Sautéed Bullfrog with Pickled Peppers,Sautéed Bullfrog with Pickled Peppers,,,,,,,,,
泡椒甲鱼,zh-CN,China,Turtle with Pickled Peppers,Turtle with Pickled Peppers,,,,,,,,,
泡椒鸭丝,zh-CN,China,Shredded Duck with Pickled Peppers,Shredded Duck with Pickled Peppers,,,,,,,,,
泡椒鸭翅,zh-CN,China,Duck Wings with Pickled Peppers,Duck Wings with Pickled Peppers,,,,,,,,,
泡菜什锦,zh-CN,China,Assorted Pickles,Assorted Pickles,,,,,,,,,
泡菜鱼翅羹,zh-CN,China,Shark Fin Soup with Pickles,Shark Fin Soup with Pickles,,,,,,,,,
泡萝卜炒肉丝,zh-CN,China,Sautéed Shredded Pork with Pickled Turnip,Sautéed Shredded Pork with Pickled Turnip,,,,,,,,,
泰式煮什菌,zh-CN,China,"Boiled Assorted Mushrooms, Thai Style","Boiled Assorted Mushrooms, Thai Style",,,,,,,,,
洋葱牛柳丝,zh-CN,China,Sautéed Shredded Beef Tenderloin with Onion,Sautéed Shredded Beef Tenderloin with Onion,,,,,,,,,
浓汁三鲜,zh-CN,China,Assorted Seafood Soup,Assorted Seafood Soup,,,,,,,,,
浓汁三鲜鱼翅,zh-CN,China,Shark Fin Soup with Three Delicacies,Shark Fin Soup with Three Delicacies,,,,,,,,,
浓汁四宝鱼翅,zh-CN,China,Shark Fin Soup with Four Delicacies,Shark Fin Soup with Four Delicacies,,,,,,,,,
浓汁木瓜鱼肚,zh-CN,China,Fish Maw and Papaya Soup,Fish Maw and Papaya Soup,,,,,,,,,
浓汁鱼唇,zh-CN,China,Fish Snout Soup,Fish Snout Soup,,,,,,,,,
浓汁鱼肚,zh-CN,China,Braised Fish Maw Soup,Braised Fish Maw Soup,,,,,,,,,
浓汁鲍丝翅,zh-CN,China,Braised Shark Fin and Shredded Abalone,Braised Shark Fin and Shredded Abalone,,,,,,,,,
浓汁鲍鱼,zh-CN,China,Braised Shredded Abalone in Thick Soup,Braised Shredded Abalone in Thick Soup,,,,,,,,,
浓汤四宝,zh-CN,China,Seafood Soup,Seafood Soup,,,,,,,,,
浓汤裙边,zh-CN,China,Turtle Rim in Thick Soup,Turtle Rim in Thick Soup,,,,,,,,,
浓汤鱼丸煮山菌,zh-CN,China,Fish Ball and Mushrooms in Thick Soup,Fish Ball and Mushrooms in Thick Soup,,,,,,,,,
浓汤鱼唇,zh-CN,China,Braised Fish Snout Soup,Braised Fish Snout Soup,,,,,,,,,
浓汤鱼肚烩散翅,zh-CN,China,Soup of Fish Maw and Shark Fin,Soup of Fish Maw and Shark Fin,,,,,,,,,
浓汤鸡火翅,zh-CN,China,Shark Fin in Chicken Soup,Shark Fin in Chicken Soup,,,,,,,,,
浓汤鸡煲翅（供3－5人用）,zh-CN,China,Braised Shark Fin in Chicken Broth (Serves 3 to 5 Persons),Braised Shark Fin in Chicken Broth (Serves 3 to 5 Persons),,,,,,,,,
海参过油肉,zh-CN,China,Light-Fried Pork with Sea Cucumber,Light-Fried Pork with Sea Cucumber,,,,,,,,,
海参锅巴,zh-CN,China,Sautéed Sea Cucumber with Crispy Rice,Sautéed Sea Cucumber with Crispy Rice,,,,,,,,,
海参鹅掌煲,zh-CN,China,Braised Goose Webs with Sea Cucumber in Casserole,Braised Goose Webs with Sea Cucumber in Casserole,,,,,,,,,
海竹笙煮双鲜,zh-CN,China,Boiled Seafood with Bamboo Fungus,Boiled Seafood with Bamboo Fungus,,,,,,,,,
海虎翅,zh-CN,China,Supreme Shark Fin Soup,Supreme Shark Fin Soup,,,,,,,,,
海鲜大煲翅,zh-CN,China,Braised Shark Fin and Seafood,Braised Shark Fin and Seafood,,,,,,,,,
海鲜汁扒大虾,zh-CN,China,Grilled Prawns with Seafood Sauce,Grilled Prawns with Seafood Sauce,,,,,,,,,
海鲜盅,zh-CN,China,Seafood Soup,Seafood Soup,,,,,,,,,
海鲜粉丝煲,zh-CN,China,Assorted Seafood with Vermicelli in Casserole,Assorted Seafood with Vermicelli in Casserole,,,,,,,,,
海鲜脆皮豆腐,zh-CN,China,Crispy Tofu with Seafood,Crispy Tofu with Seafood,,,,,,,,,
海鲜豆腐,zh-CN,China,Braised Tofu with Seafood,Braised Tofu with Seafood,,,,,,,,,
涮羊肉,zh-CN,China,"Hot Pot, Mongolian Style","Hot Pot, Mongolian Style",,,,,,,,,
淮山圆肉炖甲鱼,zh-CN,China,Stewed Turtle with Yam and Longan,Stewed Turtle with Yam and Longan,,,,,,,,,
淮杞爆乳鸽,zh-CN,China,Stir-Fried Pigeonneau and Chinese Wolfberry,Stir-Fried Pigeonneau and Chinese Wolfberry,,,,,,,,,
清汤干贝鲜蘑,zh-CN,China,Consommé of Dried Scallops and Fresh Mushrooms,Consommé of Dried Scallops and Fresh Mushrooms,,,,,,,,,
清汤牛丸腩,zh-CN,China,Stewed Beef Brisket and Beef Balls,Stewed Beef Brisket and Beef Balls,,,,,,,,,
